"issue","example","management_decision"
"Duplicated patient IDs","Same patient ID appearing more than once","Retain and flag for review because repeated IDs may represent repeat visits"
"Blank character entries","Blank entries in gender, region, residence, and other fields","Convert blank entries to NA"
"Inconsistent categorical coding","M, m, Male; F, f, Female; YES, Y, Yes","Create standardised cleaned categorical variables"
"Numeric values recorded with units","85.1kg, 153.3cm, 3.9mmol/L, 132mg/dL","Extract numeric values using parse_number()"
"Non-numeric text in numeric variables","Error, missing, not recorded, unknown","Convert non-convertible entries to NA and flag"
"Invalid age values","Negative age and age above 110","Flag invalid or suspicious values for review"
"Missing clinical values","Missing glucose, pulse rate, respiratory rate, and BMI","Retain records but flag missing clinical information"
"Invalid blood pressure values","Missing BP or systolic BP not greater than diastolic BP","Clean BP format, split into systolic and diastolic, then flag invalid records"
"BMI missing information","BMI cannot be assessed where weight or height is missing","Retain records and flag missing BMI information"
"Logical contradictions","Male patient with pregnancy-related diagnosis","Flag for manual verification before empirical analysis"
